"","season","season_type","team","type","total_plays","total_epa","total_success","total_dropbacks","total_dropback_epa","total_dropback_success","total_rushes","total_rush_epa","total_rush_success","total_pts"
"1",2022,"POST","BAL","offense",69,-4.8900722631687,30,35,4.61194788556633,16,34,-9.50202014873503,14,17
"2",2022,"POST","BUF","offense",136,-10.5465622974914,59,98,-12.5339058360439,43,38,1.98734353855252,16,44
"3",2022,"POST","CIN","offense",194,20.6393329651165,97,135,17.4662732590976,67,59,3.17305970601883,30,71
"4",2022,"POST","DAL","offense",128,18.6239853132137,61,78,21.1103154901501,40,50,-2.48633017693646,21,43
"5",2022,"POST","JAX","offense",134,3.11869393748819,69,96,-6.81909864966824,47,38,9.93779258715643,22,51
"6",2022,"POST","KC","offense",187,36.7529680637472,94,122,39.266746685602,72,65,-2.51377862185473,22,88
"7",2022,"POST","LAC","offense",69,4.30827281233907,27,48,8.96899907733133,22,21,-4.66072626499226,5,30
"8",2022,"POST","MIA","offense",71,-13.5690011925054,23,53,-9.17383974381852,18,18,-4.39516144868685,5,31
"9",2022,"POST","MIN","offense",57,10.4394609445008,31,41,10.7669198834919,24,16,-0.327458938991185,7,24
"10",2022,"POST","NYG","offense",120,10.6021706331628,56,81,5.84488447494707,39,39,4.75728615821572,17,38
"11",2022,"POST","PHI","offense",215,41.6397190548058,106,100,20.5961326947545,44,115,21.0435863600513,62,104
"12",2022,"POST","SEA","offense",68,5.42186102073316,31,45,8.18531338952158,22,23,-2.76345236878842,9,23
"13",2022,"POST","SF","offense",176,6.20928673990465,78,88,20.6818766908124,43,88,-14.4725899509077,35,67
"14",2022,"POST","TB","offense",82,-3.99439366135607,34,70,-3.57878712637443,29,12,-0.415606534981634,5,14
"15",2022,"REG","ARI","offense",1191,-94.7611643061319,486,793,-63.0479153087022,323,398,-31.7132489974297,163,340
"16",2022,"REG","ATL","offense",1037,4.76937550550858,472,513,1.52800722682934,235,524,3.24136827867925,237,365
"17",2022,"REG","BAL","offense",1070,6.30671496746201,486,592,-11.0564480044337,258,478,17.3631629718957,228,350
"18",2022,"REG","BUF","offense",1059,118.191629371946,519,694,141.384796590571,360,365,-23.1931672186255,159,455
"19",2022,"REG","CAR","offense",1010,-37.6752153171685,412,540,-34.4054907039468,214,470,-3.26972461322175,198,347
"20",2022,"REG","CHI","offense",1019,-40.7243281845332,418,535,-39.7447360284453,220,484,-0.97959215608795,198,326
"21",2022,"REG","CIN","offense",1081,87.8863245710116,517,726,111.623063939508,370,355,-23.7367393684966,147,418
"22",2022,"REG","CLE","offense",1153,14.2992439000785,508,660,12.150971437982,293,493,2.14827246209657,215,361
"23",2022,"REG","DAL","offense",1148,33.7517607403976,518,632,50.888980383858,305,516,-17.1372196434604,213,467
"24",2022,"REG","DEN","offense",1126,-86.8604652519765,444,708,-36.1014888982427,284,418,-50.7589763537338,160,287
"25",2022,"REG","DET","offense",1129,85.7493094635809,518,664,115.997069363811,326,465,-30.2477599002302,192,453
"26",2022,"REG","GB","offense",1077,19.6569160565993,498,641,23.7786101677326,298,436,-4.12169411113339,200,370
"27",2022,"REG","HOU","offense",1052,-178.717204822616,398,674,-100.163218836698,258,378,-78.5539859859183,140,289
"28",2022,"REG","IND","offense",1139,-176.722159384593,458,719,-102.886655755618,301,420,-73.835503628975,157,289
"29",2022,"REG","JAX","offense",1108,51.0399898374306,517,681,92.7684431605214,346,427,-41.7284533230908,171,404
"30",2022,"REG","KC","offense",1136,203.151760186606,575,768,210.139099166021,411,368,-6.98733897941478,164,496
